author,record_count,platforms,primary_categories,tier,website,role,representative_titles,representative_urls,time_slices,x_twitter,linkedin,github,external_verification_status
vsdevelop.com,2,vsdevelop.com,self_evolving_agent,Tier 3,https://vsdevelop.com,unknown,会成长的 AI Agent：当你的助手开始”记住”你是谁 – Ray.Lei Blog ; 会成长的 AI Agent：当你的助手开始”记住”你是谁 – Ray.Lei Blog,https://vsdevelop.com/archives/371 ; https://vsdevelop.com/archives/371,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
warpmetrics.com,2,warpmetrics.com,self_evolving_agent,Tier 3,https://warpmetrics.com,unknown,Building a Self-Improving AI Agent with Feedback Loops - Warpmetrics ; Building a Self-Improving AI Agent with Feedback Loops - Warpmetrics,https://warpmetrics.com/learn/self-improving-ai-agent ; https://warpmetrics.com/learn/self-improving-ai-agent,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
weave-docs.wandb.ai,2,weave-docs.wandb.ai,tutorial_or_implementation,Tier 3,https://weave-docs.wandb.ai,unknown,OpenAI Agents SDK - Weights & Biases Documentation ; OpenAI Agents SDK - Weights & Biases Documentation,https://weave-docs.wandb.ai/guides/integrations/openai_agents ; https://weave-docs.wandb.ai/guides/integrations/openai_agents,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
wqw547243068.github.io,2,wqw547243068.github.io,self_evolving_agent,Tier 1,https://wqw547243068.github.io,unknown,智能体记忆设计 Agent Memory ; 智能体记忆设计 Agent Memory,https://wqw547243068.github.io/agent_memory/ ; https://wqw547243068.github.io/agent_memory/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
yeyulingfeng.com,2,yeyulingfeng.com,self_evolving_agent,Tier 3,https://www.yeyulingfeng.com,unknown,从openclaw��想到的智能体的self-improving ; 从openclaw��想到的智能体的self-improving,https://www.yeyulingfeng.com/a/469301.html ; https://www.yeyulingfeng.com/a/469301.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
zhizaozhe.com,2,zhizaozhe.com,self_evolving_agent,Tier 3,https://www.zhizaozhe.com,unknown,从静态模型到数字生命体：自进化AI Agent综述 - 人工智能 ; 从静态模型到数字生命体：自进化AI Agent综述 - 人工智能,https://www.zhizaozhe.com/post/5386 ; https://www.zhizaozhe.com/post/5386,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
zhuanzhi.ai,2,zhuanzhi.ai,self_evolving_agent,Tier 3,https://www.zhuanzhi.ai,unknown,大模型如何迭代？北大等《大型语言模型自我进化》综述 - 专知VIP ; 大模型如何迭代？北大等《大型语言模型自我进化》综述 - 专知VIP,https://www.zhuanzhi.ai/vip/7d2dfc0c0ca19d68a1a1107f39a326d5 ; https://www.zhuanzhi.ai/vip/7d2dfc0c0ca19d68a1a1107f39a326d5,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
zhuanzhiai.com,2,zhuanzhiai.com,self_evolving_agent,Tier 3,https://www.zhuanzhiai.com,unknown,自进化人工智能体的全面综述：连接基础模型与终身自主智能系统的新范式 - 专知VIP ; 自进化人工智能体的全面综述：连接基础模型与终身自主智能系统的新范式 - 专知VIP,https://www.zhuanzhiai.com/vip/f9f4c9cc7c3fe277ac2759232ce5cc92 ; https://www.zhuanzhiai.com/vip/f9f4c9cc7c3fe277ac2759232ce5cc92,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
## What isGumloop? Gumloop is a no-code platform for building powerful AI automations. Our no-code visual builder lets u,1,Product Hunt,agent_workflow_automation,Tier 2,https://www.producthunt.com,Product launch team,"Gumloop - Product Information, Latest Updates, and Reviews 2025 | Product Hunt",https://www.producthunt.com/products/agenthub,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
## What isMGX (MetaGPT X)? MGX (MetaGPT X) is a multi-agent AI platform based on real software SOPs. Chat with the AI te,1,Product Hunt,agent_product_or_directory,Tier 2,https://www.producthunt.com,Product launch team,MGX (MetaGPT X),https://www.producthunt.com/products/metagpt-x,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
## What isQuestflow? Questflow Labs is the orchestration layer for the multi-agent economy,1,Product Hunt,developer_framework,Tier 2,https://www.producthunt.com,Product launch team,Questflow Product Information and Latest Updates (2025) | Product Hunt,https://www.producthunt.com/products/questflow-2,2024-Q1,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Amir Andohkosh Nimesh All Makers ## What isAi,1,Product Hunt,agent_product_or_directory,Tier 2,https://www.producthunt.com,Product launch team,AiAgent.app,https://www.producthunt.com/products/autogpt-by-aiagent-app,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Assaf Elovic All Makers ## What isGPT Researcher? GPT Researcher is open-source autonomous agent that can prod,1,Product Hunt,developer_framework,Tier 2,https://www.producthunt.com,Product launch team,GPT Researcher,https://www.producthunt.com/products/gpt-researcher,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
GitHub Blog/Docs,1,GitHub Blog/Docs,self_evolving_agent,Tier 1,https://github.com/modelscope/AgentEvolver/blob/main/docs/index.md,unknown,docs/index.md at main · modelscope/AgentEvolver,https://github.com/modelscope/AgentEvolver/blob/main/docs/index.md,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
haider ali khan Mukunda NS Snow,1,Product Hunt,investor_market_resource,Tier 2,https://www.producthunt.com,Product launch team,SuperAGI Cloud,https://www.producthunt.com/products/superagi-cloud,2023-Q3,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
openclawindex.com,1,openclawindex.com,self_evolving_agent,Tier 3,https://openclawindex.com/learn/how-i-taught-my-ai-assistant-to-learn-from-its-own-mistakes,unknown,Self-Improving AI Agents: Reflection + Anti-Drift in 30 Min | OpenClaw Index,https://openclawindex.com/learn/how-i-taught-my-ai-assistant-to-learn-from-its-own-mistakes,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Sam Stephens Nathan Perkins Tom Stuart Omar ElMohandes Hannah Craighead Zee All Makers ## What isPortia AI? Build multi-,1,Product Hunt,agent_workflow_automation,Tier 2,https://www.producthunt.com,Product launch team,Portia AI Product Information and Latest Updates (2025) | Product Hunt,https://www.producthunt.com/products/portia-ai,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Srijan Subedi All Makers ## What isAgentGPT? AgentGPT allows you to configure and deploy Autonomous AI agents. Name your,1,Product Hunt,agent_product_or_directory,Tier 2,https://www.producthunt.com,Product launch team,AgentGPT Product Information and Latest Updates (2025) | Product Hunt,https://www.producthunt.com/products/agentgpt,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Tham (Sylvia) Nguyen Mai Quang Tu,1,Product Hunt,agent_workflow_automation,Tier 2,https://www.producthunt.com,Product launch team,"AgentCrew - Product Information, Latest Updates, and Reviews 2025 | Product Hunt",https://www.producthunt.com/products/agentcrew,2024-Q2,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Yuma Heymans All Makers ## What isO-mega? O-mega is the AI workforce platform for the autonomous enterprise. O-mega agen,1,Product Hunt,investor_market_resource,Tier 2,https://www.producthunt.com,Product launch team,O-mega Product Information and Latest Updates (2025) | Product Hunt,https://www.producthunt.com/products/o-mega,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
